sentence,tokens
A black dog is approaching a golden dog on pebbly beach,11
A black animal is approaching a golden dog on pebbly beach,11
A white dog is approaching a golden dog on pebbly beach,11
A large white dog is jumping in the air over an area covered by snow,15
A large white dog is jumping in the air over a snowy area,13
A large black dog is jumping in the air over a snowy area,13
A large white dog is jumping up in the snow,10
A large white animal is jumping up in the snow,10
A small white dog is jumping up in the snow,10
Two young boys are wearing hats and sticking their colored tongues out,12
Two young kids are wearing hats and sticking their colored tongues out,12
Two young girls are wearing hats and sticking their colored tongues out,12
A pair of kids are sticking out blue and green colored tongues,12
Two kids are sticking out blue and green colored tongues,10
Two kids are not sticking out blue and green colored tongues,11
A dog is standing on the side of a mountain,10
A dog is standing on a mountain,7
There is no dog standing on the side of a mountain,11
A white dog is standing on a hill covered by grass,11
A white dog is standing on a grassy hillside,9
A black dog is standing on a grassy hillside,9
Two children are rolling in dirty water,7
Two children are rolling in muddy water,7
Two children are rolling in clean water,7
Two boys are laying in the ocean close to the beach,11
Two boys are laying in the water close to the beach,11
Two boys are laying in the ocean far to the beach,11
A black and brown dog is eyeing a fly,9
A black and brown dog is eyeing an insect,9
A black and brown cat is eyeing a fly,9
A brown and black dog is looking upwards,8
A brown and black dog is pointing the nose upwards,10
A brown and black dog is pointing the nose downwards,10
A large man is sitting in a military accessories shop,10
A large man is sitting in a military accessories store,10
A small man is sitting in a military accessories store,10
A veteran is showing different things from a war to some people,12
Different things from a war are being shown to some people by a veteran,14
There is no veteran showing things from a war to some people,12
A grey dog is bouncing a soccer ball on its head in a grass field,15
A grey dog is bouncing a soccer ball on its head on a lawn,14
A grey dog is bouncing a tennis ball on its head in a grass field,15
A dog with a blue collar is playing with the ball in the garden,14
A dog with a blue collar is playing with the ball outside,12
A dog with a blue collar is not playing with the ball outside,13
A young black child is standing on the edge of a body of water near some buckets,17
A young black child is waiting on the edge of a body of water near some buckets,17
A young white child is not standing on the edge of a body of water near some buckets,18
A boy next to some buckets of rags is holding something,11
A boy next to some buckets of rags is holding an object,12
A boy next to some buckets of rags is not holding an object,13
Two children are playing soccer in the park,8
Two children are playing with a ball in the park,10
Two children are not playing soccer in the park,9
Two little boys are playing outside with a soccer ball on the green grass,14
Children are playing outside with a soccer ball on the green grass,12
There are no little boys playing outside with a soccer ball on the green grass,15
The woman is wearing a colorful shirt and a lot of jewelry,12
A woman is wearing a colorful shirt and a lot of jewelry,12
A man is wearing a colorful shirt and a lot of jewelry,12
A young woman with Indian clothing and henna on her hand is going through paperwork,15
A girl with Indian clothing and henna on her hand is going through paperwork,14
A man with Indian clothing and henna on his hand is going through paperwork,14
A man is standing in the middle of a gym and is wearing a jersey,15
A man is standing in a gym and is wearing a jersey,12
There is no man standing in the middle of a gym and is wearing a jersey,16
A man in a jersey which is black is standing in a gym,13
A man in a black jersey is standing in a gym,11
A woman in a black jersey is standing in a gym,11
The snowboarder is jumping off the snow,7
A snowboarder is jumping off the snow,7
There is no snowboarder jumping off the snow,8
The snowboarder is jumping off a snow covered hill,9
The snowboarder is jumping off a snowy hill,8
The snowboarder is not jumping off a snow covered hill,10
A lady is wearing a black dress and is carrying a white cross,13
A lady is dressed in black and is carrying a white cross,12
A boy is wearing a black dress and is carrying a white cross,13
A woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,25
A woman in a black dress is pulling a cart and is standing near two men who are seated on a park bench,23
A man in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,25
A boy in a swimsuit is sitting on top of a circular fountain,13
A boy in a swimsuit is sitting on a circular fountain,11
There is no boy in a swimsuit sitting on top of a circular fountain,14
The boy is standing next to the opening of a fountain,11
A boy is standing next to the opening of a fountain,11
A girl is standing next to the opening of a fountain,11
A brown and white animal is jumping on the sidewalk,10
A brown and white dog is jumping on the sidewalk,10
A brown and white cat is jumping on the sidewalk,10
A small brown and white dog is running on the sidewalk,11
